Date,Starnuto
2017-08-31,83
2017-09-01,78
2017-09-02,67
2017-09-03,70
2017-09-04,54
2017-09-05,79
2017-09-06,75
2017-09-07,76
2017-09-08,54
2017-09-09,67
2017-09-10,72
2017-09-11,89
2017-09-12,83
2017-09-13,68
2017-09-14,83
2017-09-15,86
2017-09-16,92
2017-09-17,79
2017-09-18,83
2017-09-19,65
2017-09-20,74
2017-09-21,121
2017-09-22,93
2017-09-23,89
2017-09-24,90
2017-09-25,84
2017-09-26,120
2017-09-27,102
2017-09-28,107
2017-09-29,101
2017-09-30,99
2017-10-01,105
2017-10-02,117
2017-10-03,108
2017-10-04,104
2017-10-05,103
2017-10-06,110
2017-10-07,82
2017-10-08,108
2017-10-09,93
2017-10-10,108
2017-10-11,101
2017-10-12,90
2017-10-13,73
2017-10-14,81
2017-10-15,79
2017-10-16,82
2017-10-17,81
2017-10-18,81
2017-10-19,69
2017-10-20,101
2017-10-21,90
2017-10-22,164
2017-10-23,112
2017-10-24,92
2017-10-25,82
2017-10-26,70
2017-10-27,83
2017-10-28,74
2017-10-29,104
2017-10-30,77
2017-10-31,84
2017-11-01,82
2017-11-02,79
2017-11-03,89
2017-11-04,100
2017-11-05,76
2017-11-06,65
2017-11-07,76
2017-11-08,83
2017-11-09,89
2017-11-10,85
2017-11-11,72
2017-11-12,85
2017-11-13,71
2017-11-14,92
2017-11-15,78
2017-11-16,88
2017-11-17,75
2017-11-18,76
2017-11-19,80
2017-11-20,76
2017-11-21,80
2017-11-22,96
2017-11-23,105
2017-11-24,74
2017-11-25,95
2017-11-26,80
2017-11-27,87
2017-11-28,79
2017-11-29,86
2017-11-30,92
2017-12-01,72
2017-12-02,95
2017-12-03,76
2017-12-04,83
2017-12-05,91
2017-12-06,79
2017-12-07,82
2017-12-08,94
2017-12-09,91
2017-12-10,127
2017-12-11,106
2017-12-12,82
2017-12-13,79
2017-12-14,76
2017-12-15,97
2017-12-16,66
2017-12-17,92
2017-12-18,86
2017-12-19,59
2017-12-20,78
2017-12-21,87
2017-12-22,94
2017-12-23,75
2017-12-24,65
2017-12-25,94
2017-12-26,136
2017-12-27,138
2017-12-28,149
2017-12-29,138
2017-12-30,122
2017-12-31,103
2018-01-01,130
2018-01-02,145
2018-01-03,143
2018-01-04,141
2018-01-05,152
2018-01-06,123
2018-01-07,221
2018-01-08,119
2018-01-09,126
2018-01-10,121
2018-01-11,136
2018-01-12,108
2018-01-13,91
2018-01-14,124
2018-01-15,94
2018-01-16,125
2018-01-17,114
2018-01-18,124
2018-01-19,124
2018-01-20,109
2018-01-21,98
2018-01-22,107
2018-01-23,82
2018-01-24,94
2018-01-25,92
2018-01-26,100
2018-01-27,104
2018-01-28,119
2018-01-29,101
2018-01-30,115
2018-01-31,96
2018-02-01,102
2018-02-02,114
2018-02-03,157
2018-02-04,116
2018-02-05,93
2018-02-06,109
2018-02-07,81
2018-02-08,84
2018-02-09,105
2018-02-10,113
2018-02-11,104
2018-02-12,94
2018-02-13,92
2018-02-14,88
2018-02-15,76
2018-02-16,85
2018-02-17,89
2018-02-18,95
2018-02-19,119
2018-02-20,107
2018-02-21,110
2018-02-22,92
2018-02-23,115
2018-02-24,84
2018-02-25,96
2018-02-26,72
2018-02-27,88
2018-02-28,101
2018-03-01,85
2018-03-02,84
2018-03-03,96
2018-03-04,103
2018-03-05,77
2018-03-06,82
2018-03-07,102
2018-03-08,121
2018-03-09,94
2018-03-10,96
2018-03-11,131
2018-03-12,84
2018-03-13,114
2018-03-14,120
2018-03-15,113
2018-03-16,100
2018-03-17,101
2018-03-18,134
2018-03-19,106
2018-03-20,98
2018-03-21,126
2018-03-22,94
2018-03-23,93
2018-03-24,97
2018-03-25,138
2018-03-26,99
2018-03-27,82
2018-03-28,120
2018-03-29,87
2018-03-30,98
2018-03-31,80
2018-04-01,112
2018-04-02,79
2018-04-03,92
2018-04-04,116
2018-04-05,108
2018-04-06,98
2018-04-07,84
2018-04-08,92
2018-04-09,87
2018-04-10,90
2018-04-11,104
2018-04-12,76
2018-04-13,87
2018-04-14,86
2018-04-15,120
2018-04-16,90
2018-04-17,98
2018-04-18,80
2018-04-19,81
2018-04-20,81
2018-04-21,100
2018-04-22,91
2018-04-23,141
2018-04-24,88
2018-04-25,87
2018-04-26,105
2018-04-27,100
2018-04-28,92
2018-04-29,116
2018-04-30,91
2018-05-01,88
2018-05-02,93
2018-05-03,106
2018-05-04,69
2018-05-05,90
2018-05-06,92
2018-05-07,72
2018-05-08,64
2018-05-09,87
2018-05-10,87
2018-05-11,76
2018-05-12,75
2018-05-13,111
2018-05-14,84
2018-05-15,97
2018-05-16,82
2018-05-17,90
2018-05-18,63
2018-05-19,69
2018-05-20,76
2018-05-21,75
2018-05-22,79
2018-05-23,81
2018-05-24,59
2018-05-25,103
2018-05-26,61
2018-05-27,55
2018-05-28,78
2018-05-29,84
2018-05-30,74
2018-05-31,67
2018-06-01,60
2018-06-02,100
2018-06-03,155
2018-06-04,103
2018-06-05,74
2018-06-06,78
2018-06-07,66
2018-06-08,71
2018-06-09,54
2018-06-10,72
2018-06-11,74
2018-06-12,56
2018-06-13,81
2018-06-14,73
2018-06-15,55
2018-06-16,55
2018-06-17,79
2018-06-18,60
2018-06-19,53
2018-06-20,75
2018-06-21,51
2018-06-22,74
2018-06-23,126
2018-06-24,66
2018-06-25,145
2018-06-26,140
2018-06-27,127
2018-06-28,131
2018-06-29,146
2018-06-30,128
2018-07-01,133
2018-07-02,126
2018-07-03,151
2018-07-04,130
2018-07-05,136
2018-07-06,122
2018-07-07,105
2018-07-08,67
2018-07-09,9
2018-07-10,18
2018-07-11,16
2018-07-12,16
2018-07-13,33
2018-07-14,45
2018-07-15,58
2018-07-16,48
2018-07-17,49
2018-07-18,60
2018-07-19,65
2018-07-20,74
2018-07-21,49
2018-07-22,52
2018-07-23,44
2018-07-24,48
2018-07-25,59
2018-07-26,57
2018-07-27,45
2018-07-28,70
2018-07-29,68
2018-07-30,53
2018-07-31,45
2018-08-01,45
2018-08-02,57
2018-08-03,64
2018-08-04,48
2018-08-05,39
2018-08-06,57
2018-08-07,45
2018-08-08,46
2018-08-09,69
2018-08-10,65
2018-08-11,52
2018-08-12,80
2018-08-13,89
2018-08-14,50
2018-08-15,55
2018-08-16,63
2018-08-17,70
2018-08-18,71
2018-08-19,74
2018-08-20,60
2018-08-21,67
2018-08-22,71
2018-08-23,81
2018-08-24,72
2018-08-25,53
2018-08-26,89
2018-08-27,89
2018-08-28,79
2018-08-29,81
2018-08-30,82
2018-08-31,75
2018-09-01,83
2018-09-02,75
2018-09-03,67
2018-09-04,78
2018-09-05,65
2018-09-06,84
2018-09-07,85
2018-09-08,87
2018-09-09,78
2018-09-10,77
2018-09-11,91
2018-09-12,75
2018-09-13,62
2018-09-14,67
2018-09-15,82
2018-09-16,81
2018-09-17,66
2018-09-18,62
2018-09-19,69
2018-09-20,72
2018-09-21,64
2018-09-22,83
2018-09-23,76
2018-09-24,76
2018-09-25,80
