Date,""Tosse"""
2017-01-21,171
2017-01-22,186
2017-01-23,197
2017-01-24,188
2017-01-25,166
2017-01-26,175
2017-01-27,174
2017-01-28,147
2017-01-29,150
2017-01-30,138
2017-01-31,153
2017-02-01,138
2017-02-02,159
2017-02-03,143
2017-02-04,127
2017-02-05,159
2017-02-06,184
2017-02-07,126
2017-02-08,161
2017-02-09,185
2017-02-10,168
2017-02-11,129
2017-02-12,153
2017-02-13,169
2017-02-14,142
2017-02-15,155
2017-02-16,163
2017-02-17,149
2017-02-18,181
2017-02-19,138
2017-02-20,154
2017-02-21,147
2017-02-22,109
2017-02-23,136
2017-02-24,128
2017-02-25,121
2017-02-26,136
2017-02-27,129
2017-02-28,164
2017-03-01,147
2017-03-02,140
2017-03-03,115
2017-03-04,110
2017-03-05,136
2017-03-06,140
2017-03-07,146
2017-03-08,122
2017-03-09,128
2017-03-10,106
2017-03-11,113
2017-03-12,137
2017-03-13,128
2017-03-14,120
2017-03-15,109
2017-03-16,135
2017-03-17,119
2017-03-18,113
2017-03-19,128
2017-03-20,111
2017-03-21,171
2017-03-22,168
2017-03-23,135
2017-03-24,115
2017-03-25,95
2017-03-26,116
2017-03-27,233
2017-03-28,218
2017-03-29,169
2017-03-30,101
2017-03-31,98
2017-04-01,83
2017-04-02,123
2017-04-03,149
2017-04-04,147
2017-04-05,115
2017-04-06,101
2017-04-07,101
2017-04-08,89
2017-04-09,102
2017-04-10,83
2017-04-11,90
2017-04-12,81
2017-04-13,97
2017-04-14,99
2017-04-15,98
2017-04-16,74
2017-04-17,113
2017-04-18,110
2017-04-19,89
2017-04-20,74
2017-04-21,97
2017-04-22,69
2017-04-23,83
2017-04-24,87
2017-04-25,99
2017-04-26,92
2017-04-27,94
2017-04-28,105
2017-04-29,82
2017-04-30,94
2017-05-01,81
2017-05-02,95
2017-05-03,91
2017-05-04,82
2017-05-05,71
2017-05-06,86
2017-05-07,60
2017-05-08,74
2017-05-09,72
2017-05-10,135
2017-05-11,130
2017-05-12,87
2017-05-13,66
2017-05-14,73
2017-05-15,72
2017-05-16,71
2017-05-17,90
2017-05-18,99
2017-05-19,87
2017-05-20,92
2017-05-21,87
2017-05-22,79
2017-05-23,86
2017-05-24,54
2017-05-25,72
2017-05-26,76
2017-05-27,49
2017-05-28,54
2017-05-29,66
2017-05-30,58
2017-05-31,62
2017-06-01,61
2017-06-02,62
2017-06-03,58
2017-06-04,49
2017-06-05,60
2017-06-06,72
2017-06-07,54
2017-06-08,54
2017-06-09,92
2017-06-10,49
2017-06-11,57
2017-06-12,73
2017-06-13,90
2017-06-14,76
2017-06-15,71
2017-06-16,51
2017-06-17,61
2017-06-18,54
2017-06-19,55
2017-06-20,68
2017-06-21,83
2017-06-22,59
2017-06-23,49
