Date,Raffreddore
2016-12-12,23
2016-12-13,28
2016-12-14,12
2016-12-15,14
2016-12-16,12
2016-12-17,22
2016-12-18,35
2016-12-19,33
2016-12-20,20
2016-12-21,25
2016-12-22,16
2016-12-23,22
2016-12-24,23
2016-12-25,21
2016-12-26,21
2016-12-27,28
2016-12-28,29
2016-12-29,23
2016-12-30,39
2016-12-31,29
2017-01-01,23
2017-01-02,33
2017-01-03,31
2017-01-04,43
2017-01-05,29
2017-01-06,27
2017-01-07,27
2017-01-08,15
2017-01-09,26
2017-01-10,21
2017-01-11,16
2017-01-12,24
2017-01-13,13
2017-01-14,21
2017-01-15,26
2017-01-16,10
2017-01-17,11
2017-01-18,17
2017-01-19,10
2017-01-20,16
2017-01-21,21
2017-01-22,19
2017-01-23,18
2017-01-24,20
2017-01-25,16
2017-01-26,18
2017-01-27,25
2017-01-28,21
2017-01-29,23
2017-01-30,14
2017-01-31,18
2017-02-01,15
2017-02-02,16
2017-02-03,20
2017-02-04,8
2017-02-05,24
2017-02-06,20
2017-02-07,18
2017-02-08,16
2017-02-09,16
2017-02-10,15
2017-02-11,9
2017-02-12,22
2017-02-13,16
2017-02-14,19
2017-02-15,14
2017-02-16,24
2017-02-17,12
2017-02-18,13
2017-02-19,12
2017-02-20,19
2017-02-21,21
2017-02-22,17
2017-02-23,10
2017-02-24,10
2017-02-25,14
2017-02-26,23
2017-02-27,17
2017-02-28,19
2017-03-01,17
2017-03-02,19
2017-03-03,11
2017-03-04,17
2017-03-05,23
2017-03-06,14
2017-03-07,13
2017-03-08,13
2017-03-09,17
2017-03-10,19
2017-03-11,20
2017-03-12,18
2017-03-13,10
2017-03-14,19
2017-03-15,16
2017-03-16,15
2017-03-17,10
2017-03-18,14
2017-03-19,12
2017-03-20,18
2017-03-21,11
2017-03-22,8
2017-03-23,13
2017-03-24,9
2017-03-25,9
2017-03-26,19
2017-03-27,20
2017-03-28,10
2017-03-29,12
2017-03-30,13
2017-03-31,14
2017-04-01,4
2017-04-02,10
2017-04-03,13
2017-04-04,7
2017-04-05,9
2017-04-06,10
2017-04-07,10
2017-04-08,12
2017-04-09,9
2017-04-10,13
2017-04-11,11
2017-04-12,6
2017-04-13,17
2017-04-14,14
2017-04-15,3
2017-04-16,7
2017-04-17,9
2017-04-18,7
2017-04-19,9
2017-04-20,12
2017-04-21,12
2017-04-22,9
2017-04-23,8
2017-04-24,21
2017-04-25,13
2017-04-26,3
2017-04-27,17
2017-04-28,18
2017-04-29,9
2017-04-30,12
2017-05-01,8
2017-05-02,19
2017-05-03,11
2017-05-04,12
2017-05-05,11
2017-05-06,18
2017-05-07,6
2017-05-08,14
2017-05-09,24
2017-05-10,2
2017-05-11,5
2017-05-12,15
2017-05-13,13
2017-05-14,4
2017-05-15,14
2017-05-16,14
2017-05-17,15
2017-05-18,8
2017-05-19,11
2017-05-20,10
2017-05-21,11
2017-05-22,16
2017-05-23,13
2017-05-24,6
2017-05-25,6
2017-05-26,6
2017-05-27,10
2017-05-28,9
2017-05-29,6
2017-05-30,6
2017-05-31,10
2017-06-01,7
2017-06-02,1
2017-06-03,3
2017-06-04,8
2017-06-05,6
2017-06-06,4
2017-06-07,1
2017-06-08,3
2017-06-09,2
2017-06-10,5
2017-06-11,7
2017-06-12,5
2017-06-13,8
2017-06-14,7
2017-06-15,16
2017-06-16,4
2017-06-17,9
2017-06-18,2
2017-06-19,5
2017-06-20,4
2017-06-21,7
2017-06-22,5
2017-06-23,12
2017-06-24,9
2017-06-25,10
2017-06-26,6
2017-06-27,6
2017-06-28,5
2017-06-29,3
2017-06-30,3
2017-07-01,3
2017-07-02,4
2017-07-03,4
2017-07-04,4
2017-07-05,10
2017-07-06,1
2017-07-07,13
2017-07-08,6
2017-07-09,8
