Date,"Tachipirina"
2018-07-08,0
2018-07-09,62
2018-07-10,4
2018-07-11,12
2018-07-12,62
2018-07-13,62
2018-07-14,8
2018-07-15,3
2018-07-16,13
2018-07-17,3
2018-07-18,6
2018-07-19,4
2018-07-20,56
2018-07-21,3
2018-07-22,5
2018-07-23,3
2018-07-24,2
2018-07-25,2
2018-07-26,31
2018-07-27,4
2018-07-28,4
2018-07-29,2
2018-07-30,6
2018-07-31,5
2018-08-01,5
2018-08-02,3
2018-08-03,3
2018-08-04,9
2018-08-05,1
2018-08-06,3
2018-08-07,7
2018-08-08,51
2018-08-09,7
2018-08-10,42
2018-08-11,5
2018-08-12,1
2018-08-13,11
2018-08-14,5
2018-08-15,49
2018-08-16,8
2018-08-17,1
2018-08-18,5
2018-08-19,4
2018-08-20,3
2018-08-21,3
2018-08-22,2
2018-08-23,2
2018-08-24,4
2018-08-25,8
2018-08-26,59
2018-08-27,3
2018-08-28,10
2018-08-29,4
2018-08-30,7
2018-08-31,5
2018-09-01,7
2018-09-02,5
2018-09-03,8
2018-09-04,9
2018-09-05,6
2018-09-06,3
2018-09-07,5
2018-09-08,8
2018-09-09,5
2018-09-10,3
2018-09-11,7
2018-09-12,32
2018-09-13,5
2018-09-14,1
2018-09-15,2
2018-09-16,3
2018-09-17,9
2018-09-18,22
2018-09-19,58
2018-09-20,8
2018-09-21,3
2018-09-22,4
2018-09-23,1
2018-09-24,3
2018-09-25,1
2018-09-26,5
2018-09-27,2
2018-09-28,5
2018-09-29,2
2018-09-30,3
2018-10-01,5
2018-10-02,3
2018-10-03,1
2018-10-04,11
2018-10-05,14
2018-10-06,8
2018-10-07,2
2018-10-08,5
2018-10-09,3
2018-10-10,3
2018-10-11,6
2018-10-12,3
2018-10-13,2
2018-10-14,5
2018-10-15,3
2018-10-16,4
2018-10-17,3
2018-10-18,0
2018-10-19,1
2018-10-20,1
2018-10-21,2
2018-10-22,0
2018-10-23,2
2018-10-24,3
2018-10-25,5
2018-10-26,1
2018-10-27,2
2018-10-28,4
2018-10-29,6
2018-10-30,5
2018-10-31,1
2018-11-01,6
2018-11-02,1
2018-11-03,2
2018-11-04,4
2018-11-05,2
2018-11-06,6
2018-11-07,3
2018-11-08,7
2018-11-09,2
2018-11-10,2
2018-11-11,4
2018-11-12,4
2018-11-13,4
2018-11-14,3
2018-11-15,2
2018-11-16,5
2018-11-17,1
2018-11-18,2
2018-11-19,2
2018-11-20,3
2018-11-21,3
2018-11-22,2
2018-11-23,2
2018-11-24,2
2018-11-25,1
2018-11-26,1
2018-11-27,0
2018-11-28,3
2018-11-29,3
2018-11-30,8
2018-12-01,2
2018-12-02,3
2018-12-03,3
2018-12-04,5
2018-12-05,0
2018-12-06,4
2018-12-07,3
2018-12-08,1
2018-12-09,3
